"url","Embed Title","Embed Title_link"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","What is Lexis Advance® Tax?","http://help.lexisnexis.com/tabula-rasa/newlexis/taxabout_cpt-concept?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","View the Lexis Advance® product","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewtaxproduct_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Choose my tax practice area","http://help.lexisnexis.com/tabula-rasa/newlexis/taxchoosepracticearea_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Perform a tax search","http://help.lexisnexis.com/tabula-rasa/newlexis/taxperformsearch_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Find a tax document","http://help.lexisnexis.com/tabula-rasa/newlexis/taxfindocument_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","View recent tax news","http://help.lexisnexis.com/tabula-rasa/newlexis/taxsearchnews_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","View the contents of Lexis Tax Advisor - Federal Topical","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewoverview_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","View the contents of Bender's State Taxation: Principles and Practice","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewoverviewstate_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","View the contents of Rhoades & Langer U.S. International Taxation and Tax Treaties","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewoverviewinternational_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Work with the different tax sources","http://help.lexisnexis.com/tabula-rasa/newlexis/taxsources_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Restrict my tax search to specific sources","http://help.lexisnexis.com/tabula-rasa/newlexis/taxrestrictsearchtosources_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Save a tax source as a favorite","http://help.lexisnexis.com/tabula-rasa/newlexis/taxsavefavorites_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Search the CCH tax archive","http://help.lexisnexis.com/tabula-rasa/newlexis/taxsearchccharchive_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Work with my Lexis Advance® Tax search results","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewresults_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Narrow or filter my Lexis Advance® Tax search results","http://help.lexisnexis.com/tabula-rasa/newlexis/taxnarrowresults_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Locate and view a tax document","http://help.lexisnexis.com/tabula-rasa/newlexis/taxviewdoc_hdi-task?lbu=US&locale=en_US&audience=tax"
"http://help.lexisnexis.com/tabula-rasa/newlexis/gh_tax-topic?lbu=US&locale=en_US&audience=tax","Create a Search Alert Page (Lexis Advance® Tax)","http://help.lexisnexis.com/tabula-rasa/newlexis/alertcreatetaxnewstips-field?lbu=US&locale=en_US&audience=tax"
