"url","Topic Box","Topic Hide 2","Topic Hide 2_link","Topic Hide 3","Topic Hide 3_link"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","About LexisNexis® Litigation Profile Suite","About LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_lpsabout-topic?lbu=US&locale=en_US&audience=lps","What is LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsaboutprofilesuite_cpt-concept?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","Searching with LexisNexis® Litigation Profile Suite","Searching with LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_lpssearchall-topic?lbu=US&locale=en_US&audience=lps","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","Viewing Profile Reports for Individual Attorneys","Viewing Reports for Individual Attorneys using LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_lpsattorneyreports-topic?lbu=US&locale=en_US&audience=lps","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","Viewing Profile Reports for Individual Expert Witnesses","Viewing Reports for Individual Experts Using LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_lpsexpertreports-topic?lbu=US&locale=en_US&audience=lps","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","Viewing Profile Reports for Individual Judges","Viewing Reports for Individual Judges Using LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_lpsjudgereports-topic?lbu=US&locale=en_US&audience=lps","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","Working with Your Search Results and Documents","Working with Documents","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_homefulldoc-topic?lbu=US&locale=en_US&audience=lps","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","What are my options when searching for attorney, expert witness, or judge profiles?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsaboutprofilesearch_cpt-concept?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for a specific expert witness using LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforexpert_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for an expert witness with a specific area of expertise?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforareaofexpertise_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for a specific judge using LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforjudge_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for a judge within a specific jurisdiction?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforjudgejurisdiction_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for an attorney using LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforattorney_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I search for an attorney within a specific location?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchforattorneyjurisdiction_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I pre-filter my LexisNexis® Litigation Profile Suite search results?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsprefiltersearchresults_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I view LexisNexis® Litigation Profile Suite reports of individual attorneys?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsviewindividualattorney_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","Understanding Attorney Reports for LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsaboutattorneyreports_cpt-concept?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I view a snapshot of an attorney's profile using LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsviewattorneyoverview_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I view the ways an attorney has been involved in various cases using LexisNexis® Litigation Profile Suite?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsviewattorneypracticehistory_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I interpret LexisNexis® Litigation Profile Suite graph data?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsworkwithgraphs_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","Understanding the Graphs and Charts Used in LexisNexis® Litigation Profile Suite","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsvsgraphs_ref-reference?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I view a list of documents in which an expert witness, judge, or attorney has been published?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsviewpublications_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I view news articles in which an expert witness, judge, or attorney has been mentioned?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpsviewnews_hdi-task?lbu=US&locale=en_US&audience=lps"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=lps","","","","How do I perform a Web search for information on an expert witness, judge, or attorney?","http://help.lexisnexis.com/tabula-rasa/newlexis/lpssearchlexisweb_hdi-task?lbu=US&locale=en_US&audience=lps"
