"url","Topic Box","Topic Hide 2","Topic Hide 2_link","Show","Show_link"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","LexisNexis® Interactive Citation Workstation Help","LexisNexis® Interactive Citation Workstation","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_icw-topic?lbu=US&locale=en_US&audience=icw","",""
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","Contacting LexisNexis","Contact Us","http://help.lexisnexis.com/tabula-rasa/newlexis/gh_contactus-topic?lbu=US&locale=en_US&audience=icw","Customer Support Contact Information","http://help.lexisnexis.com/tabula-rasa/newlexis/contactsupport_ref-reference?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","LexisNexis® Interactive Citation Workstation for students","http://help.lexisnexis.com/tabula-rasa/newlexis/icwpodescriptions_cpt-concept?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","LexisNexis® Interactive Citation Workstation for professors","http://help.lexisnexis.com/tabula-rasa/newlexis/icwpodescriptionsprofessor_cpt-concept?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I complete an exercise in LexisNexis® Interactive Citation Workstation?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwtakexercise_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I request an exercise reset in LexisNexis® Interactive Citation Workstation?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwrequestreset_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I print a LexisNexis® Interactive Citation Workstation completion certificate?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwprintcertificate_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I select my professors in LexisNexis® Interactive Citation Workstation?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwchangeprofessor_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I grade LexisNexis® Interactive Citation Workstation exercises by manual?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwgradexercise_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I grade LexisNexis® Interactive Citation Workstation exercises for a selected student?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwgradexerciseStudent_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I change LexisNexis® Interactive Citation Workstation's exercise settings?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwexercisesettings_hdi-task?lbu=US&locale=en_US&audience=icw"
"http://help.lexisnexis.com/tabula-rasa/newlexis/home?lbu=US&locale=en_US&audience=icw","","","","How do I reset an LexisNexis® Interactive Citation Workstation exercise for a student?","http://help.lexisnexis.com/tabula-rasa/newlexis/icwresetexercise_hdi-task?lbu=US&locale=en_US&audience=icw"
